hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_id	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:6337	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	"nkat9|CD158G"			killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5	"CD molecules|Killer cell immunoglobulin like receptors"	"471|620"	1997-11-14		2016-01-20	2016-01-20	3810			uc061fdr.1	"L76672|GL949747"	NM_014513		Q14953	8662091	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		604956													CD158G								"ENST00000614053.1|NM_014513.3"	
HGNC:6340	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	nkat10			killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1	Killer cell immunoglobulin like receptors	620	1997-11-14		2016-01-20	2018-11-13	3813	ENSG00000275434	OTTHUMG00000151668	uc061evc.1	"L76661|GL949747"	NM_001083539		Q14943	8662091	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		620778																						
HGNC:6604	LILRA3	leukocyte immunoglobulin like receptor A3	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	"LIR-4|HM43|ILT6|HM31|LIR4|CD85e"	leucocyte Ig-like receptor A3		leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	"CD molecules|Activating leukocyte immunoglobulin like receptors"	"471|1181"	2000-01-11		2016-01-14	2025-10-22	11026	ENSG00000276175		uc061edb.1	U91926	NM_001172654		Q8N6C8	"9278324|9548455"	MGI:894311				604818													CD85e								"ENST00000620589.4|NM_006865.5"	
HGNC:44196	APOBEC3A_B	APOBEC3A and APOBEC3B deletion hybrid	protein-coding gene	gene with protein product	Approved	22q13 alternate reference locus	22q13 alternate reference locus					Apolipoprotein B mRNA editing enzyme catalytic subunits	406	2012-10-13			2025-10-22	100913187	ENSG00000262156			GL383583	NM_001193289			"19788695|17447845"																										"ENST00000570508.3|NM_001193289.2"	
HGNC:27538	OR8U8	olfactory receptor family 8 subfamily U member 8	protein-coding gene	gene with protein product	Approved	11q1 alternate reference locus	11q1 alternate reference locus				olfactory receptor, family 8, subfamily U, member 8	Olfactory receptors, family 8	155	2005-03-15		2015-12-09	2025-10-22	504189	ENSG00000262315		uc058jjg.1	JH159136	NM_001013356		P0C7N1		MGI:1333748											OR8U8														"ENST00000627176.1|NM_001013356.2"	
HGNC:29166	OR8U9	olfactory receptor family 8 subfamily U member 9	protein-coding gene	gene with protein product	Approved	11q1 alternate reference locus	11q1 alternate reference locus				olfactory receptor, family 8, subfamily U, member 9	Olfactory receptors, family 8	155	2005-03-15		2015-12-09	2025-10-22	504190	ENSG00000281038			JH159136	NM_001013357		P0C7N5		MGI:3030878											OR8U9														"ENST00000626074.1|NM_001013357.1"	
HGNC:31940	OR9G9	olfactory receptor family 9 subfamily G member 9	protein-coding gene	gene with protein product	Approved	11q11 alternate reference locus	11q11 alternate reference locus				olfactory receptor, family 9, subfamily G, member 9	Olfactory receptors, family 9	156	2005-03-15		2015-12-09	2025-10-22	504191	ENSG00000262191		uc031ykq.1	JH159137	NM_001013358		P0C7N8		"MGI:3030846|MGI:3030848|MGI:3030850"											OR9G9														"ENST00000571130.1|NM_001013358.2"	
HGNC:15732	BAGE5	BAGE family member 5	protein-coding gene	gene with protein product	Approved	13cen GRCh38 patch	13cen GRCh38 patch	CT2.5	cancer/testis antigen family 2, member 5		B melanoma antigen family, member 5	BAGE family	1848	2001-06-01		2017-02-24	2025-10-24	85316			uc062bdr.1	AF339516	NM_182484		Q86Y27	"12461691|12676563"																											
HGNC:58753	C4A_2	complement component 4A (Chido/Rodgers blood group), copy 2	protein-coding gene	gene with protein product	Approved	6p21.33 alternate reference locus	06p21.33 alternate reference locus							2025-09-05	2025-09-05	2025-09-05	2025-09-10	110384692	ENSG00000227746																																		
HGNC:42398	C4B_2	complement component 4B (Chido/Rodgers blood group), copy 2	protein-coding gene	gene with protein product	Approved	6p21.3 alternate reference locus	06p21.3 alternate reference locus				complement component 4B (Chido blood group), copy 2			2013-01-18		2023-11-07	2023-11-07	100293534	ENSG00000233312	OTTHUMG00000188967	uc011jpd.3	GL000256	NM_001242823		P0C0L5	19505723	MGI:88228																									"ENST00000435500.7|NM_001242823.2"	
HGNC:18876	TAS2R45	taste 2 receptor member 45	protein-coding gene	gene with protein product	Approved	12 alternate reference locus	12 alternate reference locus	ZG24P		GPR59	"G protein-coupled receptor 59|taste receptor, type 2, member 45"	Taste 2 receptors	1162	2002-08-16		2015-12-16	2024-05-08	259291	ENSG00000261936			AF494226	NM_176886		P59539	12379855	"MGI:2681256|MGI:2681304"				613967										HGNC:18876											"ENST00000571573.2|NM_176886.2"	
HGNC:10628	CCL3L1	C-C motif chemokine ligand 3 like 1	protein-coding gene	gene with protein product	Approved	17q12 alternate reference locus	17q12 alternate reference locus	"G0S19-2|LD78BETA"		"D17S1718|SCYA3L|SCYA3L1"	"small inducible cytokine A3-like 1|chemokine (C-C motif) ligand 3-like 1"	Chemokine ligands	483	1993-11-04	2002-08-23	2016-03-01	2025-10-22	6349	ENSG00000277768	OTTHUMG00000191291	uc032guk.3	X52149	NM_021006		P16619	"1972563|1296815"	MGI:98260				601395																					"ENST00000615140.2|NM_021006.6"	
HGNC:10631	CCL4L1	C-C motif chemokine ligand 4 like 1	protein-coding gene	gene with protein product	Approved	17q12 alternate reference locus	17q12 alternate reference locus	"AT744.2|LAG-1"		"SCYA4L|CCL4L"	"small inducible cytokine A4-like|chemokine (C-C motif) ligand 4-like|chemokine (C-C motif) ligand 4-like 1"	Chemokine ligands	483	1999-05-17	2005-04-27	2016-03-01	2025-10-22	388372	ENSG00000282604			X53682	NM_207007		Q8NHW4	"8661057|1972563|15028295"	MGI:98261				603782																					"ENST00000634014.2|NM_207007.4"	
